dataset,method,metric,scale,n,mean,std,baseline_scale,baseline_mean,delta_vs_baseline,pct_change_vs_baseline
3d_torus_surface_traj,ecomann,train_seconds,0.5,7,5.072376101136407,0.7788044294609252,0.2,0.8238843195805592,4.248491781555848,515.6660565792491
3d_torus_surface_traj,ecomann,train_seconds,0.75,7,8.02612776073095,1.3615031098311792,0.2,0.8238843195805592,7.20224344115039,874.1813953707801
3d_torus_surface_traj,ecomann,train_seconds,1.0,7,9.938287995568576,1.7375750617646706,0.2,0.8238843195805592,9.114403675988017,1106.272259269138
3d_torus_surface_traj,ecomann,train_seconds,1.5,7,16.16809360829315,2.0909006038498053,0.2,0.8238843195805592,15.344209288712593,1862.4227848545963
3d_torus_surface_traj,ecomann,train_seconds,3.0,7,15.838454300870321,2.045971922800993,0.2,0.8238843195805592,15.014569981289762,1822.4123975236844
3d_torus_surface_traj,eikonal,proj_true_dist,0.2,7,0.5530932758535657,0.0904187620563751,0.2,0.5530932758535657,0.0,0.0
3d_torus_surface_traj,eikonal,proj_true_dist,0.5,7,0.2259280543242182,0.18843649285600783,0.2,0.5530932758535657,-0.3271652215293475,-59.151907248275094
3d_torus_surface_traj,eikonal,proj_true_dist,0.75,7,0.2052401751279831,0.16821230336028045,0.2,0.5530932758535657,-0.3478531007255826,-62.8923033260087
3d_torus_surface_traj,eikonal,proj_true_dist,1.0,7,0.0866575725376606,0.06744590549398255,0.2,0.5530932758535657,-0.4664357033159051,-84.33219561313133
3d_torus_surface_traj,eikonal,proj_true_dist,1.5,7,0.043651897992406576,0.0014933723738396576,0.2,0.5530932758535657,-0.5094413778611592,-92.10767877713928
3d_torus_surface_traj,eikonal,proj_true_dist,3.0,7,0.043651897992406576,0.0014933723738396576,0.2,0.5530932758535657,-0.5094413778611592,-92.10767877713928
3d_torus_surface_traj,eikonal,proj_manifold_dist,0.2,7,0.3342021788869585,0.04806908870183553,0.2,0.3342021788869585,0.0,0.0
3d_torus_surface_traj,eikonal,proj_manifold_dist,0.5,7,0.15644732703055655,0.12690637076795155,0.2,0.3342021788869585,-0.17775485185640197,-53.18781955533757
3d_torus_surface_traj,eikonal,proj_manifold_dist,0.75,7,0.14997368146266257,0.1217511976164183,0.2,0.3342021788869585,-0.18422849742429595,-55.12486424770137
3d_torus_surface_traj,eikonal,proj_manifold_dist,1.0,7,0.07081548656736102,0.0461638185587631,0.2,0.3342021788869585,-0.2633866923195975,-78.81058501676799
3d_torus_surface_traj,eikonal,proj_manifold_dist,1.5,7,0.04141233701791082,0.0008235165377716023,0.2,0.3342021788869585,-0.2927898418690477,-87.60859753941992
3d_torus_surface_traj,eikonal,proj_manifold_dist,3.0,7,0.04141233701791082,0.0008235165377716023,0.2,0.3342021788869585,-0.2927898418690477,-87.60859753941992
3d_torus_surface_traj,eikonal,bidirectional_chamfer,0.2,7,1.0295796649796622,0.23537822813241577,0.2,1.0295796649796622,0.0,0.0
3d_torus_surface_traj,eikonal,bidirectional_chamfer,0.5,7,0.35422622306006296,0.23185377665354515,0.2,1.0295796649796622,-0.6753534419195992,-65.59506416950647
3d_torus_surface_traj,eikonal,bidirectional_chamfer,0.75,7,0.3035875675933702,0.21018000373999154,0.2,1.0295796649796622,-0.7259920973862921,-70.51344564003534
3d_torus_surface_traj,eikonal,bidirectional_chamfer,1.0,7,0.1504295596054622,0.07205510214203921,0.2,1.0295796649796622,-0.8791501053742,-85.38922584407942
3d_torus_surface_traj,eikonal,bidirectional_chamfer,1.5,7,0.10287433969123023,0.0016673309359099221,0.2,1.0295796649796622,-0.926705325288432,-90.00812242214764
3d_torus_surface_traj,eikonal,bidirectional_chamfer,3.0,7,0.10287433969123023,0.0016673309359099221,0.2,1.0295796649796622,-0.926705325288432,-90.00812242214764
3d_torus_surface_traj,eikonal,pred_recall,0.2,7,0.02248677248677249,0.009197718276718652,0.2,0.02248677248677249,0.0,0.0
3d_torus_surface_traj,eikonal,pred_recall,0.5,7,0.27802469135802466,0.16663749173087722,0.2,0.02248677248677249,0.25553791887125216,1136.3921568627447
3d_torus_surface_traj,eikonal,pred_recall,0.75,7,0.4173544973544973,0.20624517418580238,0.2,0.02248677248677249,0.3948677248677248,1755.9999999999995
3d_torus_surface_traj,eikonal,pred_recall,1.0,7,0.6819929453262787,0.14852702630126344,0.2,0.02248677248677249,0.6595061728395063,2932.8627450980393
3d_torus_surface_traj,eikonal,pred_recall,1.5,7,0.8133862433862434,0.06617920617454617,0.2,0.02248677248677249,0.790899470899471,3517.176470588235
3d_torus_surface_traj,eikonal,pred_recall,3.0,7,0.8133862433862434,0.06617920617454617,0.2,0.02248677248677249,0.790899470899471,3517.176470588235
3d_torus_surface_traj,eikonal,pred_precision,0.2,7,0.16451590401785715,0.040216423047239706,0.2,0.16451590401785715,0.0,0.0
3d_torus_surface_traj,eikonal,pred_precision,0.5,7,0.6103864397321429,0.2513417726277695,0.2,0.16451590401785715,0.44587053571428575,271.0197159211363
3d_torus_surface_traj,eikonal,pred_precision,0.75,7,0.656005859375,0.23603415793461735,0.2,0.16451590401785715,0.49148995535714285,298.74920500317995
3d_torus_surface_traj,eikonal,pred_precision,1.0,7,0.8407156808035714,0.10868224210333452,0.2,0.16451590401785715,0.6761997767857142,411.0239559041763
3d_torus_surface_traj,eikonal,pred_precision,1.5,7,0.9163643973214286,0.004126041913798104,0.2,0.16451590401785715,0.7518484933035714,457.0065719737121
3d_torus_surface_traj,eikonal,pred_precision,3.0,7,0.9163643973214286,0.004126041913798104,0.2,0.16451590401785715,0.7518484933035714,457.0065719737121
3d_torus_surface_traj,eikonal,pred_FPrate,0.2,7,0.03100139321395596,0.009934116820112622,0.2,0.03100139321395596,0.0,0.0
3d_torus_surface_traj,eikonal,pred_FPrate,0.5,7,0.007700102100274408,0.006960687353551147,0.2,0.03100139321395596,-0.023301291113681552,-75.16207724236071
3d_torus_surface_traj,eikonal,pred_FPrate,0.75,7,0.010361680713506741,0.009443761699098628,0.2,0.03100139321395596,-0.020639712500449218,-66.57672562650441
3d_torus_surface_traj,eikonal,pred_FPrate,1.0,7,0.0034563071406781593,0.0039897028251079875,0.2,0.03100139321395596,-0.0275450860732778,-88.85112318396638
3d_torus_surface_traj,eikonal,pred_FPrate,1.5,7,0.0008882105580618947,0.0008210752806160618,0.2,0.03100139321395596,-0.030113182655894064,-97.13493341434072
3d_torus_surface_traj,eikonal,pred_FPrate,3.0,7,0.0008882105580618947,0.0008210752806160618,0.2,0.03100139321395596,-0.030113182655894064,-97.13493341434072
3d_torus_surface_traj,eikonal,train_seconds,0.2,7,5.358169501713876,1.3102921452125078,0.2,5.358169501713876,0.0,0.0
3d_torus_surface_traj,eikonal,train_seconds,0.5,7,9.191718355145506,0.23313599531236726,0.2,5.358169501713876,3.8335488534316298,71.54586752444884
3d_torus_surface_traj,eikonal,train_seconds,0.75,7,13.044869549140069,0.5821949884844574,0.2,5.358169501713876,7.686700047426193,143.45757529633036
3d_torus_surface_traj,eikonal,train_seconds,1.0,7,16.015517157419318,0.15582975504624005,0.2,5.358169501713876,10.657347655705442,198.89903916433698
3d_torus_surface_traj,eikonal,train_seconds,1.5,7,23.912292911579634,0.4553071776608826,0.2,5.358169501713876,18.55412340986576,346.2772762961492
3d_torus_surface_traj,eikonal,train_seconds,3.0,7,28.43975149457609,1.1778935293587094,0.2,5.358169501713876,23.081581992862212,430.7736436012203
