[run] method=eikonal dataset=2d_ellipse seed=173
[train] method=eikonal ep= 250/1200 | lr=2.00e-04 | f1=0.0197 | |grad f1|=1.0016 | ortho=0.00000
[train] method=eikonal ep= 300/1200 | lr=2.00e-04 | f1=0.0191 | |grad f1|=1.0017 | ortho=0.00000
[train] method=eikonal ep= 350/1200 | lr=2.00e-04 | f1=0.0189 | |grad f1|=1.0023 | ortho=0.00000
[train] method=eikonal ep= 400/1200 | lr=2.00e-04 | f1=0.0179 | |grad f1|=1.0078 | ortho=0.00000
[train] method=eikonal ep= 450/1200 | lr=2.00e-04 | f1=0.0178 | |grad f1|=1.0104 | ortho=0.00000
[train] method=eikonal ep= 500/1200 | lr=2.00e-04 | f1=0.0186 | |grad f1|=1.0097 | ortho=0.00000
[train] method=eikonal ep= 550/1200 | lr=2.00e-04 | f1=0.0176 | |grad f1|=0.9982 | ortho=0.00000
[train] method=eikonal ep= 600/1200 | lr=2.00e-04 | f1=0.0179 | |grad f1|=1.0029 | ortho=0.00000
[train] method=eikonal ep= 650/1200 | lr=2.00e-04 | f1=0.0179 | |grad f1|=1.0051 | ortho=0.00000
[train] method=eikonal ep= 700/1200 | lr=2.00e-04 | f1=0.0174 | |grad f1|=1.0121 | ortho=0.00000
[train] method=eikonal ep= 750/1200 | lr=2.00e-04 | f1=0.0174 | |grad f1|=1.0095 | ortho=0.00000
[train] method=eikonal ep= 800/1200 | lr=2.00e-04 | f1=0.0182 | |grad f1|=1.0108 | ortho=0.00000
[train] method=eikonal ep= 850/1200 | lr=2.00e-04 | f1=0.0167 | |grad f1|=1.0021 | ortho=0.00000
[train] method=eikonal ep= 900/1200 | lr=2.00e-04 | f1=0.0167 | |grad f1|=1.0016 | ortho=0.00000
[train] method=eikonal ep= 950/1200 | lr=2.00e-04 | f1=0.0175 | |grad f1|=1.0132 | ortho=0.00000
[train] method=eikonal ep=1000/1200 | lr=2.00e-04 | f1=0.0160 | |grad f1|=1.0049 | ortho=0.00000
[train] method=eikonal ep=1050/1200 | lr=1.00e-04 | f1=0.0162 | |grad f1|=1.0056 | ortho=0.00000
[train] method=eikonal ep=1100/1200 | lr=1.00e-04 | f1=0.0160 | |grad f1|=1.0034 | ortho=0.00000
[train] method=eikonal ep=1150/1200 | lr=1.00e-04 | f1=0.0163 | |grad f1|=1.0093 | ortho=0.00000
[train] method=eikonal ep=1200/1200 | lr=1.00e-04 | f1=0.0160 | |grad f1|=1.0051 | ortho=0.00000
[eval] 2d_sparse_sine | proj_dist=0.029871 | pred_recall=0.357500 | pred_FPrate=0.001894 | chamfer=0.062751 | gt->learned=0.031638 | learned->gt=0.031113 | space=data_space
[done] method=eikonal dataset=2d_sparse_sine seed=173 proj_dist=0.029871 recall=0.357500 FPrate=0.001894
[run] method=eikonal dataset=2d_square seed=173
[train] method=eikonal ep=   1/2000 | lr=2.00e-04 | f1=0.0832 | |grad f1|=0.0178 | ortho=0.00000
[train] method=eikonal ep=  50/2000 | lr=2.00e-04 | f1=0.1046 | |grad f1|=0.1464 | ortho=0.00000
[train] method=eikonal ep= 100/2000 | lr=2.00e-04 | f1=0.0661 | |grad f1|=0.3809 | ortho=0.00000
[train] method=eikonal ep= 150/2000 | lr=2.00e-04 | f1=0.0927 | |grad f1|=0.8203 | ortho=0.00000
[train] method=eikonal ep= 200/2000 | lr=2.00e-04 | f1=0.0931 | |grad f1|=0.8390 | ortho=0.00000
[train] method=eikonal ep= 250/2000 | lr=2.00e-04 | f1=0.0942 | |grad f1|=0.8560 | ortho=0.00000
[train] method=eikonal ep= 300/2000 | lr=2.00e-04 | f1=0.0944 | |grad f1|=0.8658 | ortho=0.00000
[train] method=eikonal ep= 350/2000 | lr=2.00e-04 | f1=0.0939 | |grad f1|=0.8734 | ortho=0.00000
[train] method=eikonal ep= 400/2000 | lr=2.00e-04 | f1=0.0933 | |grad f1|=0.8782 | ortho=0.00000
[train] method=eikonal ep= 450/2000 | lr=2.00e-04 | f1=0.0927 | |grad f1|=0.8859 | ortho=0.00000
[train] method=eikonal ep= 500/2000 | lr=2.00e-04 | f1=0.0918 | |grad f1|=0.8992 | ortho=0.00000
[train] method=eikonal ep= 550/2000 | lr=2.00e-04 | f1=0.0879 | |grad f1|=0.9048 | ortho=0.00000
[train] method=eikonal ep= 600/2000 | lr=2.00e-04 | f1=0.0818 | |grad f1|=0.9161 | ortho=0.00000
[train] method=eikonal ep= 650/2000 | lr=2.00e-04 | f1=0.0714 | |grad f1|=0.9293 | ortho=0.00000
[train] method=eikonal ep= 700/2000 | lr=2.00e-04 | f1=0.0604 | |grad f1|=0.9432 | ortho=0.00000
[train] method=eikonal ep= 750/2000 | lr=2.00e-04 | f1=0.0507 | |grad f1|=0.9381 | ortho=0.00000
