[run] method=eikonal dataset=2d_ellipse seed=173
[train] method=eikonal ep= 400/1200 | lr=2.00e-04 | f1=0.0201 | |grad f1|=1.0082 | ortho=0.00000
[train] method=eikonal ep= 450/1200 | lr=2.00e-04 | f1=0.0192 | |grad f1|=1.0058 | ortho=0.00000
[train] method=eikonal ep= 500/1200 | lr=2.00e-04 | f1=0.0181 | |grad f1|=1.0048 | ortho=0.00000
[train] method=eikonal ep= 550/1200 | lr=2.00e-04 | f1=0.0191 | |grad f1|=0.9985 | ortho=0.00000
[train] method=eikonal ep= 600/1200 | lr=2.00e-04 | f1=0.0182 | |grad f1|=1.0047 | ortho=0.00000
[train] method=eikonal ep= 650/1200 | lr=2.00e-04 | f1=0.0187 | |grad f1|=1.0073 | ortho=0.00000
[train] method=eikonal ep= 700/1200 | lr=2.00e-04 | f1=0.0197 | |grad f1|=1.0129 | ortho=0.00000
[train] method=eikonal ep= 750/1200 | lr=2.00e-04 | f1=0.0182 | |grad f1|=1.0139 | ortho=0.00000
[train] method=eikonal ep= 800/1200 | lr=2.00e-04 | f1=0.0185 | |grad f1|=1.0098 | ortho=0.00000
[train] method=eikonal ep= 850/1200 | lr=2.00e-04 | f1=0.0183 | |grad f1|=1.0084 | ortho=0.00000
[train] method=eikonal ep= 900/1200 | lr=2.00e-04 | f1=0.0178 | |grad f1|=1.0063 | ortho=0.00000
[train] method=eikonal ep= 950/1200 | lr=2.00e-04 | f1=0.0190 | |grad f1|=1.0152 | ortho=0.00000
[train] method=eikonal ep=1000/1200 | lr=2.00e-04 | f1=0.0169 | |grad f1|=1.0039 | ortho=0.00000
[train] method=eikonal ep=1050/1200 | lr=1.00e-04 | f1=0.0173 | |grad f1|=1.0071 | ortho=0.00000
[train] method=eikonal ep=1100/1200 | lr=1.00e-04 | f1=0.0173 | |grad f1|=1.0044 | ortho=0.00000
[train] method=eikonal ep=1150/1200 | lr=1.00e-04 | f1=0.0179 | |grad f1|=1.0105 | ortho=0.00000
[train] method=eikonal ep=1200/1200 | lr=1.00e-04 | f1=0.0170 | |grad f1|=1.0037 | ortho=0.00000
[eval] 2d_sparse_sine | proj_dist=0.031071 | pred_recall=0.402500 | pred_FPrate=0.002435 | chamfer=0.065975 | gt->learned=0.033717 | learned->gt=0.032257 | space=data_space
[done] method=eikonal dataset=2d_sparse_sine seed=173 proj_dist=0.031071 recall=0.402500 FPrate=0.002435
[run] method=eikonal dataset=2d_square seed=173
[train] method=eikonal ep=   1/2000 | lr=2.00e-04 | f1=0.0491 | |grad f1|=0.0245 | ortho=0.00000
[train] method=eikonal ep=  50/2000 | lr=2.00e-04 | f1=0.1121 | |grad f1|=0.1657 | ortho=0.00000
[train] method=eikonal ep= 100/2000 | lr=2.00e-04 | f1=0.1110 | |grad f1|=0.1710 | ortho=0.00000
[train] method=eikonal ep= 150/2000 | lr=2.00e-04 | f1=0.1060 | |grad f1|=0.2157 | ortho=0.00000
[train] method=eikonal ep= 200/2000 | lr=2.00e-04 | f1=0.0842 | |grad f1|=0.5700 | ortho=0.00000
[train] method=eikonal ep= 250/2000 | lr=2.00e-04 | f1=0.0919 | |grad f1|=0.8257 | ortho=0.00000
[train] method=eikonal ep= 300/2000 | lr=2.00e-04 | f1=0.0920 | |grad f1|=0.8309 | ortho=0.00000
[train] method=eikonal ep= 350/2000 | lr=2.00e-04 | f1=0.0925 | |grad f1|=0.8366 | ortho=0.00000
[train] method=eikonal ep= 400/2000 | lr=2.00e-04 | f1=0.0930 | |grad f1|=0.8432 | ortho=0.00000
[train] method=eikonal ep= 450/2000 | lr=2.00e-04 | f1=0.0934 | |grad f1|=0.8524 | ortho=0.00000
[train] method=eikonal ep= 500/2000 | lr=2.00e-04 | f1=0.0941 | |grad f1|=0.8600 | ortho=0.00000
[train] method=eikonal ep= 550/2000 | lr=2.00e-04 | f1=0.0949 | |grad f1|=0.8654 | ortho=0.00000
[train] method=eikonal ep= 600/2000 | lr=2.00e-04 | f1=0.0941 | |grad f1|=0.8704 | ortho=0.00000
[train] method=eikonal ep= 650/2000 | lr=2.00e-04 | f1=0.0941 | |grad f1|=0.8750 | ortho=0.00000
[train] method=eikonal ep= 700/2000 | lr=2.00e-04 | f1=0.0943 | |grad f1|=0.8832 | ortho=0.00000
[train] method=eikonal ep= 750/2000 | lr=2.00e-04 | f1=0.0946 | |grad f1|=0.8909 | ortho=0.00000
