method,dataset,seed,bidirectional_chamfer,eps_stop,eval_eps_used,gen_chamfer,gen_manifold_dist,gt_to_learned_mean,gt_to_learned_p95,learned_to_gt_mean,learned_to_gt_p95,n_gt,n_learned,pred_FPrate,pred_manifold_dist,pred_on_mean_v,pred_precision,pred_recall,proj_manifold_dist,proj_steps,proj_true_dist,proj_v_residual
delta,3d_spiral,173,0.3462485671043396,0.04791649058461189,0.04791649058461189,,,0.032632697373628616,0.06364993005990982,0.3136158585548401,0.7384949922561646,1024.0,4096.0,0.05640019617459539,0.3331589102745056,0.0003686546115204692,0.05737704918032787,0.7777777777777778,0.31296658515930176,29.01611328125,0.32676786184310913,0.00041927851270884275
delta,3d_spiral,271,0.2832828164100647,0.021649794653058052,0.021649794653058052,,,0.026676848530769348,0.05170118063688278,0.25660598278045654,0.6827738881111145,1024.0,4096.0,0.02299412915851272,0.3173120319843292,0.00012141351908212528,0.04081632653061224,0.5,0.2560582160949707,29.02587890625,0.26913154125213623,0.0002728264080360532
delta,3d_spiral,509,0.2759113311767578,0.02568446844816208,0.02568446844816208,,,0.026844849810004234,0.051828183233737946,0.24906647205352783,0.6755512952804565,1024.0,4096.0,0.027893320283826767,0.30511799454689026,0.00012972275726497173,0.04201680672268908,0.5555555555555556,0.24847054481506348,29.003662109375,0.2663609981536865,0.00013311870861798525
delta,3d_spiral,877,0.24451744556427002,0.022287700325250626,0.022287700325250626,,,0.024639450013637543,0.051275141537189484,0.21987798810005188,0.6517254114151001,1024.0,4096.0,0.019823788546255508,0.29297056794166565,0.00010695932724047452,0.06896551724137931,0.6,0.21914154291152954,29.25732421875,0.2400294989347458,0.0008792991284281015
delta,3d_spiral,1123,0.2936510443687439,0.02113964408636093,0.02113964408636093,,,0.026385242119431496,0.051524218171834946,0.26726579666137695,0.698839545249939,1024.0,4096.0,0.019324853228962817,0.34954509139060974,0.00016094536113087088,0.04819277108433735,0.5,0.26669859886169434,29.149658203125,0.2785767912864685,0.00023161136778071523
delta,3d_twosphere,173,0.1316419541835785,0.03048356994986534,0.03048356994986534,,,0.04865415394306183,0.08881452679634094,0.08298780024051666,0.15453512966632843,1024.0,4096.0,0.08694556451612903,0.05466824024915695,0.00012567917292471975,0.23162583518930957,0.8125,0.04668594151735306,29.576904296875,0.05973278731107712,0.007608769461512566
delta,3d_twosphere,271,0.12983199954032898,0.026368433609604836,0.026368433609604836,,,0.04730433225631714,0.08800716698169708,0.08252767473459244,0.15561425685882568,1024.0,4096.0,0.07051120624527826,0.053520262241363525,0.00010314289102097973,0.25333333333333335,0.76,0.04535669833421707,31.0498046875,0.05912545695900917,0.00825767032802105
delta,3d_twosphere,509,0.12939569354057312,0.03345070406794548,0.03345070406794548,,,0.04708231985569,0.0899781584739685,0.08231337368488312,0.15494243800640106,1024.0,4096.0,0.08646332240988153,0.054318930953741074,0.0001551043096696958,0.24282560706401765,0.8527131782945736,0.04607013612985611,29.71875,0.062131769955158234,0.008385244756937027
delta,3d_twosphere,877,0.1259029358625412,0.025405453518033028,0.025405453518033028,,,0.04491076618432999,0.08591198921203613,0.08099216967821121,0.15604998171329498,1024.0,4096.0,0.05999495840685656,0.05142049118876457,0.00011058315431000665,0.30409356725146197,0.8062015503875969,0.04395068436861038,30.9521484375,0.05951526388525963,0.008866308256983757
delta,3d_twosphere,1123,0.13600701093673706,0.023034337908029556,0.023034337908029556,,,0.05070051550865173,0.0984717607498169,0.08530649542808533,0.15870219469070435,1024.0,4096.0,0.06906906906906907,0.05533811077475548,9.272427996620536e-05,0.22033898305084745,0.78,0.05035540461540222,30.9228515625,0.06577767431735992,0.004968387074768543
