[run] method=delta dataset=2d_ellipse seed=173
[train] method=delta ep=1500/2000 | lr=3.00e-04 | loss=0.054004 | on=0.008094 | off=0.004591
[train] method=delta ep=1550/2000 | lr=3.00e-04 | loss=0.063829 | on=0.010945 | off=0.005288
[train] method=delta ep=1600/2000 | lr=3.00e-04 | loss=0.049521 | on=0.009010 | off=0.004051
[train] method=delta ep=1650/2000 | lr=3.00e-04 | loss=0.047762 | on=0.009693 | off=0.003807
[train] method=delta ep=1700/2000 | lr=3.00e-04 | loss=0.058876 | on=0.009422 | off=0.004945
[train] method=delta ep=1750/2000 | lr=3.00e-04 | loss=0.066036 | on=0.010316 | off=0.005572
[train] method=delta ep=1800/2000 | lr=3.00e-04 | loss=0.054712 | on=0.011574 | off=0.004314
[train] method=delta ep=1850/2000 | lr=3.00e-04 | loss=0.047730 | on=0.008909 | off=0.003882
[train] method=delta ep=1900/2000 | lr=3.00e-04 | loss=0.052821 | on=0.008831 | off=0.004399
[train] method=delta ep=1950/2000 | lr=3.00e-04 | loss=0.050681 | on=0.011027 | off=0.003965
[train] method=delta ep=2000/2000 | lr=3.00e-04 | loss=0.045888 | on=0.010354 | off=0.003553
